playerID,name,rating,gamesWon,gamesPlayed,winPercentage
2064,"oet",1827,131,185,71
1063,"hunter_",1782,206,271,76
2302,"uch prodigy",1746,22,34,66
2158,"GentleM.Carbage",1746,54,95,57
952,"Suffers Sadness",1626,75,114,66
928,"WhimsNum",1622,76,121,62
2120,"OreoCraz",1617,91,133,68
224,"Melody",1610,227,340,67
1856,"lyNAx",1590,117,174,67
2368,"Merlin Youke",1586,35,53,65
2293,"Chick Hicks",1584,76,120,63
2154,"AAL ED",1554,33,53,61
828,"Xeon",1541,58,97,59
2083,"glopsy",1512,37,61,60
1115,"deltasquared",1508,85,138,61
2268,"Shrumbo",1506,10,16,59
1936,"Magicmarina",1489,161,232,69
2210,"Casual-ty",1479,122,187,65
2257,"SeeVeeD33",1458,13,21,59
1157,"Bestbuster2000",1442,70,129,54
2292,"Moxie",1440,32,58,54
121,"Turborata",1436,128,203,63
2073,"bargun",1432,45,87,51
977,"raineyomi",1417,17,33,50
425,"Hungrybox",1403,75,138,54
2128,"SHARSHABIIL",1401,28,55,50
1126,"aeriiser",1383,103,182,56
667,"roycebracket",1367,102,150,68
2212,"Meatball freak",1355,22,42,51
10,"VineRaio",1349,179,276,65
1171,"Eternum",1349,115,190,60
1603,"Kagetaka447",1341,70,120,58
1272,"THExplosion24",1339,15,26,56
441,"fartcreature",1335,85,131,64
2246,"Sanity",1316,22,43,50
2433,"Count Chocula",1315,8,12,62
569,"Videofreak",1315,7,15,44
2105,"Trace",1313,42,85,49
2089,"bucghat",1309,40,82,49
2183,"DiegoLOL546",1291,28,52,53
2102,"FemboyddyHolly",1280,48,83,57
1941,"starcream",1280,9,19,45
2170,"A-O-I",1278,7,12,54
609,"SodiumFluoride",1272,76,148,51
312,"Leopold",1271,21,34,60
2265,"a duck",1270,17,33,50
954,"legit(!)",1262,52,94,55
2008,"MrBoltun",1259,61,112,54
2547,"Raccoon Pope",1258,5,7,63
2425,"Nebula",1258,4,6,57
2234,"10TD",1254,14,26,52
2249,"Discordo",1251,36,71,50
1076,"cat",1249,74,139,53
2078,"nomad",1245,39,66,58
160,"octo doggo",1235,209,309,67
1235,"J11 The Jetplane",1234,34,66,51
2260,"yizhiii",1232,10,27,39
2280,"Umbra",1214,26,48,53
1353,"Yata",1211,6,12,46
2331,"Keostar",1201,16,60,26
2397,"Tea Hunter",1200,5,9,50
490,"errmm...",1196,15,27,54
1970,"Latedge",1194,31,60,51
1084,"Transgender Cowboy",1185,58,104,55
2289,"Doorway",1181,5,14,33
310,"ShadinqTR",1180,95,167,57
428,"VileRailer",1180,94,196,48
2418,"Galaxy",1169,11,24,44
2117,"kokoHAAA",1165,24,45,52
2222,"0013",1147,16,32,48
2254,"bachelor",1137,6,12,46
2218,"Magneter",1130,27,67,40
2010,"lkg",1127,17,37,45
594,"Ben_AVV",1127,83,148,56
2385,"Okuu 2hu",1124,5,12,38
