playerID,name,rating,gamesWon,gamesPlayed,winPercentage
2064,"oet",1827,131,185,71
1063,"hunter_",1782,206,271,76
2302,"uch prodigy",1746,22,34,66
2158,"GentleM.Carbage",1746,54,95,57
115,"Elucard",1688,202,236,85
952,"Suffers Sadness",1626,75,114,66
928,"WhimsNum",1622,76,121,62
2120,"OreoCraz",1617,91,133,68
224,"Melody",1610,227,340,67
806,"05mario",1608,86,127,67
1856,"lyNAx",1590,117,174,67
2368,"Merlin Youke",1586,35,53,65
2293,"Chick Hicks",1584,76,120,63
1005,"ScrodumHat",1577,26,40,63
2145,"Blestanus",1571,28,38,72
351,"fishnu",1570,120,173,69
2154,"AAL ED",1554,33,53,61
828,"Xeon",1541,58,97,59
1134,"AxolotlGod",1515,11,15,69
2083,"glopsy",1512,37,61,60
1115,"deltasquared",1508,85,138,61
2268,"Shrumbo",1506,10,16,59
176,"NotWeell",1496,61,104,58
1936,"Magicmarina",1489,161,232,69
2210,"Casual-ty",1479,122,187,65
22,"Jumbaba",1478,7,7,100
2257,"SeeVeeD33",1458,13,21,59
1157,"Bestbuster2000",1442,70,129,54
2292,"Moxie",1440,32,58,54
121,"Turborata",1436,128,203,63
353,"plebism",1433,113,161,70
2073,"bargun",1432,45,87,51
2233,"Jmook",1417,9,11,75
977,"raineyomi",1417,17,33,50
634,"CaptainTechnicality",1411,27,39,68
1010,"lisa",1407,47,58,80
8,"WeedCowboy69",1403,30,42,70
425,"Hungrybox",1403,75,138,54
2128,"SHARSHABIIL",1401,28,55,50
2250,":Archvile:",1393,9,16,53
1429,"hunter_",1388,44,70,62
2103,"dickconsumer",1388,7,9,80
1126,"aeriiser",1383,103,182,56
2241,"mew2king",1381,6,7,88
159,"TROOP",1375,109,158,69
822,"BlueMew",1374,51,82,61
1009,"nill bye",1368,49,81,60
667,"roycebracket",1367,102,150,68
168,"Not You",1361,22,34,63
16,"cozy!",1359,44,58,75
2212,"Meatball freak",1355,22,42,51
10,"VineRaio",1349,179,276,65
1171,"Eternum",1349,115,190,60
2081,"Thanksgiving Michael",1343,10,17,56
565,"Skell",1342,32,58,54
1603,"Kagetaka447",1341,70,120,58
1352,"Wex",1340,10,14,67
1272,"THExplosion24",1339,15,26,56
100,"RetroDot",1339,7,10,64
108,"shen",1335,27,40,68
441,"fartcreature",1335,85,131,64
907,"RaeRaq",1328,20,31,63
2118,"SHARSHABIIL",1319,22,38,56
145,"avon",1316,101,182,55
2246,"Sanity",1316,22,43,50
2433,"Count Chocula",1315,8,12,62
2062,"Taltouccan",1315,6,8,67
569,"Videofreak",1315,7,15,44
2105,"Trace",1313,42,85,49
2089,"bucghat",1309,40,82,49
2242,"aMSa",1306,6,8,67
486,"Paramedic",1300,5,7,63
262,"xGalaxy",1300,87,149,58
2183,"DiegoLOL546",1291,28,52,53
786,"equinox!",1286,22,42,51
183,"hiraethval",1285,48,85,56
